iter	Passed	Remaining
0	137	137372
1	140	70275
2	143	47757
3	146	36562
4	150	29880
5	153	25454
6	156	22230
7	159	19802
8	163	18038
9	167	16556
10	170	15299
11	173	14245
12	175	13352
13	178	12585
14	181	11945
15	184	11374
16	188	10872
17	190	10405
18	193	9993
19	196	9635
20	199	9308
21	202	9004
22	205	8729
23	208	8474
24	211	8242
25	214	8035
26	217	7842
27	220	7654
28	223	7478
29	226	7313
30	229	7160
31	232	7022
32	235	6892
33	238	6767
34	241	6647
35	244	6544
36	247	6440
37	250	6340
38	253	6241
39	256	6145
40	259	6059
41	262	5978
42	264	5895
43	267	5820
44	270	5749
45	274	5683
46	277	5621
47	279	5550
48	282	5491
49	285	5428
50	288	5373
51	291	5322
52	294	5266
53	297	5214
54	300	5162
55	303	5117
56	306	5065
57	309	5023
58	312	4979
59	314	4933
60	318	4895
61	320	4855
62	323	4818
63	326	4778
64	329	4743
65	332	4710
66	335	4673
67	338	4639
68	341	4606
69	344	4574
70	347	4541
71	350	4514
72	353	4484
73	355	4453
74	358	4423
75	361	4395
76	365	4376
77	368	4351
78	370	4323
79	373	4295
80	376	4270
81	379	4250
82	381	4211
83	384	4192
84	387	4170
85	390	4149
86	393	4128
87	396	4104
88	398	4080
89	401	4057
90	403	4034
91	406	4012
92	409	3993
93	412	3973
94	415	3953
95	417	3933
96	420	3914
97	423	3897
98	426	3877
99	428	3859
100	431	3842
101	434	3823
102	437	3806
103	440	3791
104	442	3775
105	445	3756
106	448	3741
107	450	3724
108	453	3709
109	456	3693
110	459	3677
111	461	3662
112	464	3648
113	467	3633
114	470	3620
115	473	3605
116	475	3586
117	477	3571
118	480	3557
119	483	3542
120	486	3530
121	488	3512
122	490	3498
123	493	3485
124	496	3472
125	498	3460
126	501	3445
127	503	3433
128	506	3421
129	509	3409
130	511	3395
131	514	3384
132	517	3371
133	520	3360
134	522	3351
135	525	3341
136	528	3332
137	532	3323
138	535	3314
139	538	3305
140	541	3296
141	543	3282
142	546	3273
143	549	3265
144	552	3255
145	554	3245
146	557	3235
147	560	3225
148	563	3216
149	565	3206
150	568	3197
151	571	3189
152	574	3179
153	576	3169
154	579	3158
155	582	3149
156	584	3139
157	587	3129
158	589	3120
159	592	3110
160	594	3097
161	597	3088
162	599	3079
163	602	3070
164	604	3061
165	607	3053
166	610	3043
167	612	3035
168	615	3026
169	618	3018
170	620	3010
171	623	3001
172	626	2993
173	628	2985
174	631	2976
175	634	2968
176	636	2960
177	639	2951
178	641	2943
179	644	2935
180	647	2927
181	649	2919
182	652	2912
183	654	2904
184	657	2896
185	659	2887
186	662	2881
187	665	2875
188	668	2868
189	670	2860
190	673	2853
191	676	2846
192	679	2841
193	682	2834
194	684	2827
195	687	2820
196	690	2814
197	693	2807
198	696	2802
199	699	2796
200	702	2790
201	704	2784
202	707	2778
203	710	2774
204	713	2768
205	716	2762
206	719	2756
207	722	2750
208	725	2745
209	728	2739
210	731	2734
211	733	2727
212	736	2721
213	739	2716
214	742	2710
215	744	2703
216	747	2697
217	750	2690
218	752	2684
219	755	2678
220	758	2673
221	761	2667
222	764	2664
223	767	2658
224	770	2654
225	773	2648
226	776	2643
227	778	2637
228	781	2631
229	784	2625
230	787	2620
231	790	2615
232	793	2611
233	795	2604
234	798	2599
235	801	2595
236	804	2590
237	807	2584
238	809	2579
239	812	2574
240	815	2569
241	819	2565
242	821	2560
243	824	2555
244	827	2550
245	830	2545
246	833	2540
247	836	2536
248	839	2530
249	842	2526
250	844	2519
251	847	2515
252	850	2509
253	852	2504
254	855	2499
255	858	2493
256	860	2488
257	863	2484
258	866	2479
259	869	2474
260	872	2469
261	875	2464
262	878	2460
263	880	2454
264	883	2449
265	886	2444
266	888	2440
267	892	2437
268	895	2432
269	898	2428
270	900	2423
271	903	2418
272	907	2415
273	910	2411
274	913	2408
275	916	2403
276	919	2398
277	921	2394
278	924	2390
279	927	2385
280	930	2381
281	933	2377
282	936	2373
283	939	2368
284	942	2363
285	944	2359
286	947	2354
287	950	2349
288	953	2345
289	955	2340
290	958	2335
291	961	2330
292	964	2326
293	967	2322
294	969	2318
295	972	2313
296	975	2308
297	978	2304
298	980	2299
299	983	2294
300	986	2291
301	989	2286
302	992	2282
303	995	2278
304	997	2274
305	1000	2269
306	1003	2264
307	1006	2261
308	1009	2256
309	1012	2254
310	1015	2249
311	1018	2245
312	1021	2241
313	1023	2236
314	1027	2233
315	1030	2229
316	1032	2225
317	1035	2220
318	1038	2216
319	1041	2212
320	1043	2207
321	1046	2203
322	1049	2198
323	1052	2195
324	1054	2190
325	1057	2186
326	1060	2181
327	1062	2177
328	1065	2173
329	1068	2169
330	1071	2165
331	1074	2161
332	1077	2157
333	1079	2153
334	1082	2148
335	1084	2144
336	1088	2140
337	1090	2135
338	1093	2131
339	1096	2127
340	1099	2124
341	1102	2121
342	1105	2117
343	1107	2112
344	1110	2108
345	1113	2104
346	1115	2100
347	1119	2096
348	1121	2092
349	1124	2088
350	1128	2085
351	1131	2082
352	1134	2078
353	1137	2074
354	1139	2071
355	1142	2067
356	1145	2063
357	1148	2059
358	1151	2055
359	1153	2051
360	1156	2047
361	1159	2043
362	1162	2039
363	1164	2035
364	1167	2031
365	1170	2027
366	1172	2023
367	1175	2018
368	1178	2015
369	1181	2011
370	1184	2007
371	1186	2003
372	1189	2000
373	1193	1996
374	1196	1993
375	1198	1989
376	1201	1985
377	1204	1982
378	1207	1978
379	1209	1974
380	1212	1970
381	1215	1966
382	1217	1961
383	1220	1958
384	1224	1955
385	1227	1951
386	1229	1947
387	1232	1943
388	1234	1939
389	1238	1936
390	1241	1933
391	1244	1929
392	1246	1925
393	1249	1922
394	1252	1918
395	1255	1914
396	1257	1910
397	1260	1906
398	1263	1902
399	1265	1898
400	1268	1894
401	1270	1890
402	1273	1886
403	1276	1882
404	1278	1878
405	1281	1875
406	1284	1871
407	1287	1867
408	1289	1863
409	1292	1860
410	1296	1857
411	1299	1853
412	1301	1850
413	1304	1846
414	1307	1842
415	1309	1838
416	1312	1835
417	1315	1831
418	1318	1828
419	1320	1824
420	1323	1820
421	1327	1817
422	1329	1813
423	1332	1810
424	1335	1806
425	1338	1803
426	1340	1799
427	1343	1795
428	1346	1792
429	1349	1788
430	1351	1784
431	1354	1780
432	1356	1776
433	1359	1773
434	1362	1769
435	1364	1765
436	1367	1761
437	1370	1758
